,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
དང་,ཟིག,།༻_,,༙,#དུ་,ཕྱིས་,༙,_༺,རྫོགས་,#འུ་
ཁང་,བ་,ལས,།_,,#དུ་,#འུ,འི་,སྒོ,ར་,ཁར་
༺,གི་,།,གིས་,༻_༺,#དུ་,༻,#ཕུད་,༺,གྱི་,བོ་
གི་,།,ཞིག་,གིས་,༻_༺,#དུ་,༻,བསྲེག་,རྒྱུ་,༺,བོ་
པ་,ཞིག་,གིས་,#བདག་བྱེད་,དགོས་,#དུ,ས་,#ཐུབ་,ན་མ་,རེད,།༻_
འི་,༻,ལག་,ན་,༺,#དུ་,༻,ཅང་,མེད་,ལ་ད་,༺
།,མ་,#བརྒྱབ་,བ,ར་,#དུ་,༻_༺,#དུ་,འས་,༻,སྒུག་
#བརྒྱབ་,བ,ར་,#དུ་,༻_༺,#དུ་,འས་,༻,སྒུག་,༺,འས་
༺,#དུ་རེ་,༻_,གོན་,#བསྡད་,#དུ,ས,།_༺,#དུ་,རྩེ་,#སྐྱིད་
གོན་,#བསྡད་,#དུ,ས,།_༺,#དུ་,རྩེ་,#སྐྱིད་,ཡ,ས་,།
ཚིག,༽_,,ང་,༙,#དུ་,གྱི་,ན་,༙_,མི་,#འབུད་
༺,འ་,༻_,ང་,༙,#དུ་,གྱི་,ན་,༙_,བུད་,༺
༻_༺,#ཁ་ཡོག་,།,#འོག་ཕྱོགས་,༻_༺,#དུ་,༻,#དུ,ས་,༺,#འུ་
།,#འོག་ཕྱོགས་,༻_༺,#དུ་,༻,#དུ,ས་,༺,#འུ་,ཆ་,#ཨུ་
,བླངས་,༺,དང་,༻,#དུ,ས་,#བརྒྱབ་,༺,དང་,ནི་
ཧ་,༽༽_,,#ཨ་ཆེ,།_༺,#དུ་,འས་,མ་,རེ་,༻_༺,#དུ་
#དུ་,འས་,མ་,རེ་,༻_༺,#དུ་,འས་,ར་མ་,རེ,།༻_,
ལག་,དཔའ་,།,ལག་པ་,༻_༺,#དུ་,འས་,མ་,ཡེ,།༻_,
ར་,།,རེད་,དེ་,༻_༺,#དུ་,༻,སྐྱོན་,ཡོད་,ནི་,མ་
#ལ་ཁ,།༻_,,བྱང་བུ་,༺,#དུ་,༻,ཁུར་,༺,རུ་,༻
#ཧྲང་བ,ར་,༙_,ན་,ཡོད་,#དུ,ས,།_༺,#རྫ་,ཚིག་,འ་
སྐར་མ་,ལྔ་,བརྒྱ་,ཚར་,སོང་,#དུ,ས་,༺,#ཁྱོ་,།,ཁྱོད་
ཅན་,པོ་,ཡིན་,ན,།_༺,#དུ་,འས་,#རྫ་ཁྱ་,༻,དེ,།_
དེ,ས་,#གཅོག་,གི་,༺,#དུ་,མོ་,༻,ཞིག་,བཤད་,ཀི་
ཅན་,པོ་,མེད་,ཀི,།_༺,#དུ་,མི་,༻,ནས,།_,ཨ
༻,བྱང་བུ་,༺,ད་,#འུ་,#དུ་,མོ་,ཟིག་,#ཉེ,ས་,དང་
བ,ས་,༻_,ད་,༺,#དུ་,ཟིག་,༻,ནས་,༺,#ཉི་འ་
ཐུག་,སོང་,༺,ཟིག་,༻_༺,#དུ་,༻,ནས,།_,,༺
༻,ནས,།_,,༺,#དུ་,༻,སྨྱོན་པ་,༺,ཟིག་,རེ་
ན,།_,འདི་,ནས་,（海南）,#དུ་,ཡིན་,༺,ར,།༻_,
