Char,unicode repr,pybo Category,Name,General Category,Canonical-Combining-Class,Decomposition-Type,Decomposition-Mapping,IndicPositionalCategory,IndicSyllabicCategory,OpenType (from Harfbuzz),Sanskrit
0F83,—ྃ—,SKRT_VOW,TIBETAN SIGN SNA LDAN,Mn,230,,,Top,Bindu,VMAbv,1
0F84,—྄—,SKRT_VOW,TIBETAN MARK HALANTA,Mn,9,,,Bottom,Pure-Killer,VBlw,1
0F85,—྅—,SKRT_CONS,TIBETAN MARK PALUTA,Po,0,,,,Avagraha,IND,1
0F86,—྆—,SKRT_VOW,TIBETAN SIGN LCI RTAGS,Mn,230,,,Top,,VMAbv,
0F87,—྇—,SYMBOL,TIBETAN SIGN YANG RTAGS,Mn,230,,,Top,,VMAbv,
0F88,—ྈ—,SYMBOL,TIBETAN SIGN LCE TSA CAN,Lo,0,,,,Consonant-Head-Letter,B,1
0F89,—ྉ—,SYMBOL,TIBETAN SIGN MCHU CAN,Lo,0,,,,Consonant-Head-Letter,B,1
0F8A,—ྊ—,SYMBOL,TIBETAN SIGN GRU CAN RGYINGS,Lo,0,,,,Consonant-Head-Letter,B,
0F8B,—ྋ—,SYMBOL,TIBETAN SIGN GRU MED RGYINGS,Lo,0,,,,Consonant-Head-Letter,B,
0F8C,—ྌ—,SYMBOL,TIBETAN SIGN INVERTED MCHU CAN,Lo,0,,,,Consonant-Head-Letter,B,
0F8D,—ྍ—,SYMBOL,TIBETAN SUBJOINED SIGN LCE TSA CAN,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0F8E,—ྎ—,SYMBOL,TIBETAN SUBJOINED SIGN MCHU CAN,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0F8F,—ྏ—,SYMBOL,TIBETAN SUBJOINED SIGN INVERTED MCHU CAN,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F90,—ྐ—,SUB_CONS,TIBETAN SUBJOINED LETTER KA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F91,—ྑ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER KHA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F92,—ྒ—,SUB_CONS,TIBETAN SUBJOINED LETTER GA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F93,—ྒྷ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER GHA,Mn,0,,0F92 0FB7,Bottom,Consonant-Subjoined,SUB,1
0F94,—ྔ—,SUB_CONS,TIBETAN SUBJOINED LETTER NGA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F95,—ྕ—,SUB_CONS,TIBETAN SUBJOINED LETTER CA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F96,—ྖ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER CHA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F97,—ྗ—,SUB_CONS,TIBETAN SUBJOINED LETTER JA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F99,—ྙ—,SUB_CONS,TIBETAN SUBJOINED LETTER NYA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0F9A,—ྚ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER TTA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0F9B,—ྛ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER TTHA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0F9C,—ྜ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER DDA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0F9D,—ྜྷ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER DDHA,Mn,0,,0F9C 0FB7,Bottom,Consonant-Subjoined,SUB,1
0F9E,—ྞ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER NNA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0F9F,—ྟ—,SUB_CONS,TIBETAN SUBJOINED LETTER TA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA0,—ྠ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER THA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA1,—ྡ—,SUB_CONS,TIBETAN SUBJOINED LETTER DA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA2,—ྡྷ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER DHA,Mn,0,,0FA1 0FB7,Bottom,Consonant-Subjoined,SUB,1
0FA3,—ྣ—,SUB_CONS,TIBETAN SUBJOINED LETTER NA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA4,—ྤ—,SUB_CONS,TIBETAN SUBJOINED LETTER PA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA5,—ྥ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER PHA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA6,—ྦ—,SUB_CONS,TIBETAN SUBJOINED LETTER BA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA7,—ྦྷ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER BHA,Mn,0,,0FA6 0FB7,Bottom,Consonant-Subjoined,SUB,1
0FA8,—ྨ—,SUB_CONS,TIBETAN SUBJOINED LETTER MA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FA9,—ྩ—,SUB_CONS,TIBETAN SUBJOINED LETTER TSA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FAA,—ྪ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER TSHA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FAB,—ྫ—,SUB_CONS,TIBETAN SUBJOINED LETTER DZA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FAC,—ྫྷ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER DZHA,Mn,0,,0FAB 0FB7,Bottom,Consonant-Subjoined,SUB,1
0FAD,—ྭ—,SUB_CONS,TIBETAN SUBJOINED LETTER WA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FAE,—ྮ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER ZHA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FAF,—ྯ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER ZA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FB0,—ྰ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER -A,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0FB1,—ྱ—,SUB_CONS,TIBETAN SUBJOINED LETTER YA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FB2,—ྲ—,SUB_CONS,TIBETAN SUBJOINED LETTER RA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FB3,—ླ—,SUB_CONS,TIBETAN SUBJOINED LETTER LA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FB4,—ྴ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER SHA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FB5,—ྵ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER SSA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0FB6,—ྶ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER SA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FB7,—ྷ—,SUB_CONS,TIBETAN SUBJOINED LETTER HA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,
0FB8,—ྸ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER A,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0FB9,—ྐྵ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER KSSA,Mn,0,,0F90 0FB5,Bottom,Consonant-Subjoined,SUB,1
0FBA,—ྺ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER FIXED-FORM WA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0FBB,—ྻ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER FIXED-FORM YA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0FBC,—ྼ—,SKRT_SUB_CONS,TIBETAN SUBJOINED LETTER FIXED-FORM RA,Mn,0,,,Bottom,Consonant-Subjoined,SUB,1
0FBE,—྾—,SYMBOL,TIBETAN KU RU KHA,So,0,,,,,,
0FBF,—྿—,SYMBOL,TIBETAN KU RU KHA BZHI MIG CAN,So,0,,,,,,
0FC0,—࿀—,SYMBOL,TIBETAN CANTILLATION SIGN HEAVY BEAT,So,0,,,,,,
0FC1,—࿁—,SYMBOL,TIBETAN CANTILLATION SIGN LIGHT BEAT,So,0,,,,,,
0FC2,—࿂—,SYMBOL,TIBETAN CANTILLATION SIGN CANG TE-U,So,0,,,,,,
0FC3,—࿃—,SYMBOL,TIBETAN CANTILLATION SIGN SBUB -CHAL,So,0,,,,,,
0FC4,—࿄—,SYMBOL,TIBETAN SYMBOL DRIL BU,So,0,,,,,,
0FC5,—࿅—,SYMBOL,TIBETAN SYMBOL RDO RJE,So,0,,,,,,
0FC6,—࿆—,SYMBOL,TIBETAN SYMBOL PADMA GDAN,Mn,220,,,Bottom,Syllable-Modifier,FM,
0FC7,—࿇—,SYMBOL,TIBETAN SYMBOL RDO RJE RGYA GRAM,So,0,,,,,,
0FC8,—࿈—,SYMBOL,TIBETAN SYMBOL PHUR PA,So,0,,,,,,
0FC9,—࿉—,SYMBOL,TIBETAN SYMBOL NOR BU,So,0,,,,,,
0FCA,—࿊—,SYMBOL,TIBETAN SYMBOL NOR BU NYIS -KHYIL,So,0,,,,,,
0FCB,—࿋—,SYMBOL,TIBETAN SYMBOL NOR BU GSUM -KHYIL,So,0,,,,,,
0FCC,—࿌—,SYMBOL,TIBETAN SYMBOL NOR BU BZHI -KHYIL,So,0,,,,,,
0FCE,—࿎—,SYMBOL,TIBETAN SIGN RDEL NAG RDEL DKAR,So,0,,,,,,
0FCF,—࿏—,SYMBOL,TIBETAN SIGN RDEL NAG GSUM,So,0,,,,,,
0FD0,—࿐—,SPECIAL_PUNCT,TIBETAN MARK BSKA- SHOG GI MGO RGYAN,Po,0,,,,,,
0FD1,—࿑—,SPECIAL_PUNCT,TIBETAN MARK MNYAM YIG GI MGO RGYAN,Po,0,,,,,,
0FD2,—࿒—,SYMBOL,TIBETAN MARK NYIS TSHEG,Po,0,,,,,,
0FD3,—࿓—,SPECIAL_PUNCT,TIBETAN MARK INITIAL BRDA RNYING YIG MGO MDUN MA,Po,0,,,,,,
0FD4,—࿔—,SPECIAL_PUNCT,TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA,Po,0,,,,,,
0FD5,—࿕—,SYMBOL,RIGHT-FACING SVASTI SIGN,So,0,L,,,,,
0FD6,—࿖—,SYMBOL,LEFT-FACING SVASTI SIGN,So,0,L,,,,,
0FD7,—࿗—,SYMBOL,RIGHT-FACING SVASTI SIGN WITH DOTS,So,0,L,,,,,
0FD8,—࿘—,SYMBOL,LEFT-FACING SVASTI SIGN WITH DOTS,So,0,L,,,,,
0FD9,—࿙—,SPECIAL_PUNCT,TIBETAN MARK LEADING MCHAN RTAGS,Po,0,L,,,,,
0FDA,—࿚—,SPECIAL_PUNCT,TIBETAN MARK TRAILING MCHAN RTAGS,Po,0,L,,,,,
