# form	pos	lemma	sense	freq
ཀུན་དགའ་རྣམ་རྒྱལ་དཔལ་བཟང་པོ	PROPN			
ཀུན་དགའ་སྙིང་པོ	PROPN			
ཀུན་དགའ་སྙིང་པོ་	PROPN			
ཀུན་དགལ་	PROPN			
ཀུན་དུ་རྒྱུ་	NOUN			
ཀུན་པ་ན་	PROPN			
ཀུན་ཕན་	OTHER			
ཀུན་བཏགས་	NOUN			
ཀུན་བཏུས་	PROPN			
ཀུན་བཏུས་འགྲེལ་པ	PROPN			
ཀུན་བཟང་	ADJ			
ཀུན་བཟང་ཞིང་	NOUN			
ཀུན་བཟང་རྣམ་རྒྱལ་	PROPN			
ཀུན་བཤད་པ་	NOUN			
ཀུན་བསྡུས་	OTHER			
ཀུན་མཁྱེན་	OTHER			
ཀུན་མཁྱེན་བསོད་ནམས་སེང་གེ	PROPN			
ཀུན་མཁྱེན་འཇིགས་མེད་དབང་པོ	PROPN			
ཀུན་མཁྱེན་རྒྱལ་བ	NOUN			
ཀུན་མཁྱེན་སྦྲམ་རྩི་	NOUN			
ཀུན་མཐོང་	OTHER			
ཀུན་ཚང་	OTHER			
ཀུན་ཚིམས་	OTHER			
ཀུན་འགྲུབ་	OTHER			
ཀུན་འཇོམས་	OTHER			
ཀུན་འདུས་	OTHER			
ཀུན་འདྲེན་	OTHER			
ཀུན་འཕེལ་	OTHER			
ཀུན་འབྱུང་	NOUN			
ཀུན་འཛིན་	PROPN			
ཀུན་འཛོམས་	OTHER			
ཀུན་རིག་	OTHER			
ཀུན་རྒྱལ་	PROPN			
ཀུན་རྟེན་	NOUN			
ཀུན་རྟོག་	NOUN			
ཀུན་རྫོབ་	NOUN			
ཀུན་རྫོབ་སེམས་བསྐྱེད་	NOUN			
ཀུན་ལས་	OTHER			
ཀུན་ལས་བཏུས་	PROPN			
ཀུན་ལེགས་	PROPN			
ཀུན་ཤེས	PROPN			
ཀུན་ཤེས་	PROPN			
ཀུན་སེལ་	OTHER			
ཀུན་སྐོང་	OTHER			
ཀུན་སྐྲོལ་	OTHER			
ཀུན་སྒྲོལ྄་	OTHER			
ཀུན་སྣང་	OTHER			
ཀུན་སྤྱོད་	NOUN			
ཀུན་སྤྱོད་འཕགས་པ་	NOUN			
ཀུན་སྨོན་	OTHER			
ཀེ་	PROPN			
ཀེ་ཏ་ཀ	OTHER			
ཀེ་ཏ་ཀ་	OTHER			
ཀེ་ཐཱན་ཀྱཱ་ལི་	X			
ཀེ་བང་	PROPN			
ཀེ་ཡུ་རེ	X			
ཀེ་རི་སི	OTHER			
ཀེ་རུ	PROPN			
ཀེག་རྩིས་	OTHER			
ཀེང་རུས་	NOUN			
ཀེང་ཤུ	NOUN			
ཀེབ་ཏང་	OTHER			
ཀེམ་མོ་	OTHER			
ཀེའུ་ཚང་བློ་བཟང་འཇམ་དབྱངས་སྨོན་ལམ་	PROPN			
ཀེའུ་ལོ	PROPN			
ཀོ་ཀ་ལི་ཀ་	PROPN			
ཀོ་ཁྱིམ་པ་ཡེ་ཤེས་བླ་མ	PROPN			
ཀོ་བ་	NOUN			
ཀོ་བྲག་པ་	NOUN			
ཀོ་རོན་	PROPN			
ཀོ་ལོང་	NOUN			
ཀོ་ས་ལ	PROPN			
ཀོ་ས་ལ་	PROPN			
ཀོང་ཇོ་	PROPN			
ཀོང་ཐེའུ་	OTHER			
ཀོང་པོ	PROPN			
ཀོང་པོ་ཐར་པ་རིན་ཆེན་	PROPN			
ཀོང་པོ་བུ་ཆུ	PROPN			
ཀོང་པོ་ཡེ་འབྱུང་	PROPN			
ཀོང་བདུད་	OTHER			
ཀོང་བུ	NOUN			
ཀོང་བུ་	NOUN			
ཀོང་བུ་མཚོ	NOUN			
ཀོང་ཚོ་	PROPN			
ཀོང་ཡུལ་	NOUN			
ཀོང་སྤྲུལ་	OTHER			
ཀོང་སྤྲུལ་བློ་གྲོས་མཐའ་ཡས་	PROPN			
ཀོང་སྤྲུལ་ཡོན་ཏན་རྒྱ་མཚོ	PROPN			
ཀོའུ་ཤཱམ་བཱི	PROPN			
ཀཽ་ཎཱི་ནྱ་	PROPN			
ཀཽ་ཎྜི་ནྱ	PROPN			
ཀཽ་ཎྜི་ནྱ་	PROPN			
ཀཽ་ཤཱཾ་བཱི	PROPN			
ཀཽ་ཤཱཾ་བཱིའི་	PROPN			
ཀཽ་ཤི་ཀ་	PROPN			
ཀཽཎྜི་ཎྱ་	PROPN			
ཀཽཎྜི་ནྱ་	PROPN			
ཀཽཎྜིནྱ་	PROPN			
ཀཽཤཱམ་བཱི	PROPN			
ཀཾ་ཚང་	PROPN			
ཀྭ་ཡེ་	INTJ			
ཀྭན་ཏིང་	PROPN			
ཀྱག་ཀྱོག་	OTHER			
ཀྱང	PART			
ཀྱང་	PART			
ཀྱང༌	PART			
ཀྱལ་ཀ	NOUN			
ཀྱལ་ཀ་	NOUN			
ཀྱལ་ཀྱོལ་	ADJ			
ཀྱཱ་ཏྱཱ	PROPN			
ཀྱི	SCONJ			
ཀྱི་	ADP			
ཀྱི་ཁ་ཆད་	PROPN			
ཀྱི་བཙུན་དཔལ་གྱི་ཡེ་ཤེས་	PROPN			
ཀྱི་མཚོ་སྟོད་པ་	PROPN			
ཀྱི་ཚོ་བར་པ་	PROPN			
ཀྱི་ཚོ་སྟོད་	PROPN			
ཀྱི་ཚོ་སྨད་པ་	PROPN			
ཀྱི་ཡེ་ཤེས་དབང་པོ	PROPN			
ཀྱི་རྡོ་རྗེ	PROPN			
ཀྱི་ལི་ལི་	ADV			
ཀྱི་ཧུད་	INTJ			
ཀྱིན་	SCONJ			
ཀྱིས	ADP			
ཀྱིས་	ADP			
ཀྱུ་	OTHER			
ཀྱུན་ཏེ	PROPN			
ཀྱུན་ཏེ་	PROPN			
ཀྱུས་	OTHER			
ཀྱེ	PROPN			
ཀྱེ་	INTJ			
ཀྱེ་མ་	INTJ			
ཀྱེ་རྡོ་རྗེ	OTHER			
ཀྱེ་རྡོ་རྗེ་	PROPN			
ཀྱེ་རྡོ་རྗེ་གུར	PROPN			
ཀྱེ་རྡོར་	OTHER			
ཀྱེ་ལང་	OTHER			
ཀྱེམ་པ་	NOUN			
ཀྱཻ་རྡོ་རྗེ་	NOUN			
ཀྱོས་མ་	NOUN			
ཀྲད་པ་	NOUN			
ཀྲད་རྒྱུན་	NOUN			
ཀྲན་མུ་	OTHER			
ཀྲའུ་ཨེན་ལེ	PROPN			
ཀྲའོ་ཡི་མན་	PROPN			
ཀྲི་ཀི	PROPN			
ཀྲི་ཀྲི	NOUN			
ཀྲི་ཡ	NOUN			
ཀྲི་ཡ་	PROPN			
ཀྲིས་	OTHER			
ཀྲུང་གུང་	PROPN			
ཀྲུང་གོ	PROPN			
ཀྲུང་གོ་	PROPN			
ཀྲུང་གོ་བ་	OTHER			
ཀྲུང་དབྱང་	PROPN			
ཀྲུང་དབྱི	OTHER			
ཀྲུང་ཕྱི	OTHER			
ཀྲུང་ཧྭ་	OTHER			
ཀྲུང་ཨུ་	OTHER			
ཀྲུའུ་ཏེ	OTHER			
ཀྲུའུ་ཏེ་	PROPN			
ཀྲུའུ་དབྱིང་ཐའེ་	PROPN			
ཀྲུའུ་ཞི་	OTHER			
ཀྲུའུ་འཕུ་	OTHER			
ཀྲུའུ་རེན་	OTHER			
ཀྲུའུ་ཨེན་ལེ	PROPN			
ཀྲེ་བོ་མཆོག་བླ་	PROPN			
ཀྲོ་དྷ་བ་	PROPN			
ཀྲོའུ་ཨིན་ལ	OTHER			
ཀྲོའུ་ཨེན་ལའེ་	OTHER			
ཀྲོའུ་ཨེན་ལིས་	PROPN			
ཀྲྀ་ཀཱི་བྱི་	PROPN			
ཀྲྀ་ཥྞ་ས་ར	NOUN			
ཀྲྀཏ་	X			
ཀླག་པ་ལམ་པ་	PROPN			
ཀླག་ཤ་	NOUN			
ཀླད་	NOUN			
ཀླད་པ	OTHER			
ཀླད་པ་	NOUN			
ཀླད་པ་རྣམ་པ	NOUN			
ཀླད་རྒྱ་	NOUN			
ཀླན་ཀ་	NOUN			
ཀླུ	NOUN			
ཀླུ་	NOUN			
ཀླུ་ཁང་པ	PROPN			
ཀླུ་ཁྲིད་	OTHER			
ཀླུ་གཉན་	OTHER			
ཀླུ་གོང་	PROPN			
ཀླུ་ཆུ་	OTHER			
ཀླུ་ཐེབས་	OTHER			
ཀླུ་དབང་	OTHER			
ཀླུ་དབྱངས་	NOUN			
ཀླུ་ཕུག་དགོན་	PROPN			
ཀླུ་ཕྲན་	NOUN			
ཀླུ་བདུད་	OTHER			
ཀླུ་བཙན་	OTHER			
ཀླུ་བརྒྱད་མཁན་	NOUN			
ཀླུ་བསང་	OTHER			
ཀླུ་བསངས་	OTHER			
ཀླུ་བོས་	PROPN			
ཀླུ་བྱམས་	PROPN			
ཀླུ་མགོ	NOUN			
ཀླུ་མེ	PROPN			
ཀླུ་མེས་	PROPN			
ཀླུ་མེས་ཚུལ་ཁྲིམས་	PROPN			
ཀླུ་མོ	NOUN			
ཀླུ་ཚང་དགོན་	OTHER			
ཀླུ་འབུམ་	OTHER			
ཀླུ་འབུམ་ཤེས་རབ་རྒྱ་མཚོ	PROPN			
ཀླུ་ཡུལ་	OTHER			
ཀླུ་རིགས་སྒྲོན་མ	PROPN			
ཀླུ་རྟ་	OTHER			
ཀླུ་སྐར་རྒྱལ་	PROPN			
ཀླུ་སྒྲུབ	PROPN			
ཀླུ་སྒྲུབ་	PROPN			
ཀླུ་སྒྲུབ་རྒྱ་མཚོ་	PROPN			
ཀླུ་སྟོད་	PROPN			
ཀླུ་སྡེ	PROPN			
ཀླུ་སྨན་	PROPN			
ཀླུང་	NOUN			
ཀླུང་ཆེན་	NOUN			
ཀློ་སྒྲུབ་	PROPN			
ཀློག་	VERB			
ཀློག་ཐབས་	OTHER			
ཀློག་དེབ་	NOUN			
ཀློག་པ	VERB			
ཀློག་པ་	VERB			
ཀློག་པར་	OTHER			
ཀློག་ཚུལ་	OTHER			
ཀློག་འདོན་	OTHER			
ཀློག་ཡིག་	NOUN			
ཀློག་ལོ	VERB			
ཀློག་སྐད་	NOUN			
ཀློག་སྐྱ་	PROPN			
ཀློག་སྐྱ་ཤེས་རབ་བརྩེགས་	PROPN			
ཀློག་སྟངས་	OTHER			
ཀློག་སྦྱོར་	OTHER			
ཀློགས	VERB			
ཀློགས་	VERB			
ཀློགས་པ	VERB			
ཀློང་	NOUN			
ཀློང་གསལ་	OTHER			
ཀློང་ཆེན་	PROPN			
ཀློང་ཆེན་པོ	OTHER			
ཀློང་ཆེན་རབ་འབྱམས་	PROPN			
ཀློང་ཆེན་རབ་འབྱམས་པ་	PROPN			
ཀློང་ཐང་	PROPN			
ཀློང་དྲུག་པ	OTHER			
ཀློང་མཛོད་	OTHER			
ཀློང་འཁྱིལ་	NOUN			
ཀློང་ཡངས་	OTHER			
ཀློང་རྒྱས་	OTHER			
ཀློང་རྡོལ་	OTHER			
ཀློང་ལས་	OTHER			
ཀློང་སྙིང་	OTHER			
ཁ	NOUN			
ཁ་	PRON			
ཁ་ཁ་	NOUN			
ཁ་ཁྲ་	PROPN			
ཁ་གང་	NOUN			
ཁ་གཏད་	OTHER			
ཁ་གཏམ་	NOUN			
ཁ་གཏིང་	NOUN			
ཁ་གསག་	NOUN			
ཁ་གསབ་	OTHER			
ཁ་གསལ་	OTHER			
ཁ་གེ	X			
ཁ་གྱ	OTHER			
ཁ་གྱ་	OTHER			
ཁ་ཅིག་	PRON			
ཁ་ཆད་	PROPN			
ཁ་ཆར་	NOUN			
ཁ་ཆར་བུ་ཡུག་	NOUN			
ཁ་ཆུ་	NOUN			
ཁ་ཆུང་	OTHER			
ཁ་ཆེ	PROPN			
ཁ་ཆེ་	PROPN			
ཁ་ཆེ་བ་	NOUN			
ཁ་ཆེ་ཛྙཱ་ན་ཤྲཱི་	PROPN			
ཁ་ཆེ་ལ་བར་	PROPN			
ཁ་ཆེམས་	NOUN			
ཁ་ཆོམས་	NOUN			
ཁ་ཊྭཾ་ག་	NOUN			
ཁ་ཏ་	NOUN			
ཁ་ཏི་བི་ཧ་ར	PROPN			
ཁ་ཏོན་	NOUN			
ཁ་ཐབས་	NOUN			
ཁ་ཐིག་	NOUN			
ཁ་ཐུན་	OTHER			
ཁ་དཔེ	OTHER			
ཁ་དབང་ཅན་	OTHER			
ཁ་དོག་	NOUN			
ཁ་དོག་དམ་	PROPN			
ཁ་དོག་དམ་པ་	PROPN			
ཁ་དྲག་	ADJ			
ཁ་དྲག་ཤོས་	ADJ			
ཁ་དྲོན་ནང་པ་བློ་བཟང་བསྟན་འཛིན་	PROPN			
ཁ་ན་མ་ཐོ་བ	ADJ			
ཁ་ན་མ་ཐོ་བ་	ADJ			
ཁ་ན་མ་ཐོ་མེད	ADJ			
ཁ་པ	OTHER			
ཁ་པ་	OTHER			
ཁ་པར་	OTHER			
ཁ་ཕ་བོང་	NOUN			
ཁ་ཕོ་	NOUN			
ཁ་ཕྱོགས་	OTHER			
ཁ་ཕྲལ་	OTHER			
ཁ་ཕྲལ་བར་	OTHER			
ཁ་བ	NOUN			
ཁ་བ་	NOUN			
ཁ་བ་གངས་	NOUN			
ཁ་བ་ཅན	NOUN			
ཁ་བ་ཅན་	ADJ			
ཁ་བ་ཅན་ལྗོངས་	NOUN			
ཁ་བཏགས་	OTHER			
ཁ་བཏོན་	OTHER			
ཁ་བཟང་	NOUN			
ཁ་བརྡ	OTHER			
ཁ་བརྡ་	OTHER			
ཁ་བཤད་	NOUN			
ཁ་བསྒྱུར་	NOUN			
ཁ་བསྟན་ཀྱང་	PUNCT			
ཁ་བུབ་	ADV			
ཁ་བྱང་	OTHER			
ཁ་བྱང་ཆུབ་སྙིང་པོ	NOUN			
ཁ་བྱང་བསྟན་	ADJ			
ཁ་བྲལ་	OTHER			
ཁ་བློན་པོ	NOUN			
ཁ་མཆུ	NOUN			
ཁ་མཆུ་	NOUN			
ཁ་མཚར་	OTHER			
ཁ་མཚུལ་	NOUN			
ཁ་ཚ་	ADJ			
ཁ་ཚར་	NOUN			
ཁ་ཚིག་	NOUN			
ཁ་ཚོན་	NOUN			
ཁ་ཞེ་	NOUN			
ཁ་ཟས་	NOUN			
ཁ་ཟས་རོ་	NOUN			
ཁ་ཟིན་	NOUN			
ཁ་འཁོས་	OTHER			
ཁ་འཆལ་	NOUN			
ཁ་འཐོར་	ADJ			
ཁ་འདོན་	OTHER			
ཁ་འཕངས་	OTHER			
ཁ་འབར་མ་	OTHER			
ཁ་འབྱེད་	OTHER			
ཁ་འབྱེད་པ	OTHER			
ཁ་འཛིན་	NOUN			
ཁ་རག་	PROPN			
ཁ་རག་གཉོས་	PROPN			
ཁ་རག་སོ་གཅིག་	PROPN			
ཁ་རལ་	OTHER			
ཁ་རེ་ནེ་ན་	PROPN			
ཁ་རོག་	ADJ			
ཁ་རོག་གེར་	OTHER			
ཁ་རྒྱན་	OTHER			
ཁ་རླངས་	NOUN			
ཁ་རླངས་ཅན་	ADJ			
ཁ་ལ་བྱ་ལ་	PROPN			
ཁ་ལག་	NOUN			
ཁ་ལེ	NOUN			
ཁ་ལེ་བ་	ADJ			
ཁ་ལོ་བ	OTHER			
ཁ་ལོ་བསྒྱུར་བ	NOUN			
ཁ་ལོ་བསྒྱུར་བ་	NOUN			
ཁ་ལོ་སྒྱུར་བ་	NOUN			
ཁ་ལོ་སྒྱུར་བ་མི་	NOUN			
ཁ་ལོག་	NOUN			
ཁ་ལྷོ	ADV			
ཁ་ཤ་	PROPN			
ཁ་ཤགས་	OTHER			
ཁ་ཤས་	OTHER			
ཁ་ཤོར་	PROPN			
ཁ་སང་	ADV			
ཁ་སེང་	ADV			
ཁ་སེར་	OTHER			
ཁ་སོག་	OTHER			
ཁ་སྐད་	NOUN			
ཁ་སྐོང་	NOUN			
ཁ་སྐྱུར་	NOUN			
ཁ་སྣོན་	OTHER			
ཁ་སྤུ་	NOUN			
ཁ་སྤུ་མེ	NOUN			
ཁ་སྤྲོད་	NOUN			
ཁ་སྦྱོར་	OTHER			
ཁ་ཧན་	OTHER			
ཁག་	NOUN			
ཁག་ཁུར་	NOUN			
ཁག་གཅིག་	OTHER			
ཁག་གཉིས་	OTHER			
ཁག་གསུམ་	OTHER			
ཁག་ཅིག་	OTHER			
ཁག་བཅུ	OTHER			
ཁང་	NOUN			
ཁང་ཁྱིམ་	NOUN			
ཁང་གཞི	NOUN			
ཁང་གཞིས་	NOUN			
ཁང་གསར་	OTHER			
ཁང་གླ་	OTHER			
ཁང་གླིང་	NOUN			
ཁང་ཆེན་	OTHER			
ཁང་ཐོག་	NOUN			
ཁང་པ	NOUN			
ཁང་པ་	NOUN			
ཁང་བ	NOUN			
ཁང་བ་	NOUN			
ཁང་བཟང་	NOUN			
ཁང་བཟངས་	NOUN			
ཁང་བུ	NOUN			
ཁང་བུ་	NOUN			
ཁང་མིང་	OTHER			
ཁང་ཚོན་	OTHER			
ཁང་ཞིང་	NOUN			
ཁང་ཞིང་གསེར་གཡུ་མཛོ་རྟ་གནག་ལུག་	NOUN			
ཁང་ཞིང་ནོར་	NOUN			
